cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,participant,
37,m̥,hero,n,cvncv,e,labial,nasal,ccv,kempa,kʰem̥pa,yes,0,45,45,38,space,1.68621087074,,,2016_Jun_21_1140,None,icelandic,jr06,
29,m̥,moustache,n,cvnc,a,labial,nasal,cc,kamp,kʰam̥p,yes,0,46,46,20,space,4.23740291595,,,2016_Jun_21_1140,None,icelandic,jr06,
29,m̥,moustache,n,cvnc,a,labial,nasal,cc,kamp,kʰam̥p,yes,0,46,46,20,space,2.50411510468,,,2016_Jun_21_1140,None,icelandic,jr06,
29,m̥,moustache,n,cvnc,a,labial,nasal,cc,kamp,kʰam̥p,yes,0,46,46,20,space,2.38658308983,,,2016_Jun_21_1140,None,icelandic,jr06,
4,kk,dew,n,cvcc,œ,velar,stop,cc,dögg,tœkk,no,0,47,47,3,space,3.05373096466,,,2016_Jun_21_1140,None,icelandic,jr06,
4,kk,dew,n,cvcc,œ,velar,stop,cc,dögg,tœkk,no,0,47,47,3,space,1.93623900414,,,2016_Jun_21_1140,None,icelandic,jr06,
4,kk,dew,n,cvcc,œ,velar,stop,cc,dögg,tœkk,no,0,47,47,3,space,1.76966905594,,,2016_Jun_21_1140,None,icelandic,jr06,
8,tt,width,n,cvcc,i,coronal,stop,cc,vídd,vitt,no,0,48,48,7,space,3.82063508034,,,2016_Jun_21_1140,None,icelandic,jr06,
8,tt,width,n,cvcc,i,coronal,stop,cc,vídd,vitt,no,0,48,48,7,space,2.26968097687,,,2016_Jun_21_1140,None,icelandic,jr06,
8,tt,width,n,cvcc,i,coronal,stop,cc,vídd,vitt,no,0,48,48,7,space,1.80297613144,,,2016_Jun_21_1140,None,icelandic,jr06,
40,n,pound,n,cvncv,ʏ,coronal,nasal,ccv,punda,pʰʏnta,no,0,49,49,41,space,2.63669300079,,,2016_Jun_21_1140,None,icelandic,jr06,
40,n,pound,n,cvncv,ʏ,coronal,nasal,ccv,punda,pʰʏnta,no,0,49,49,41,space,1.8346221447,,,2016_Jun_21_1140,None,icelandic,jr06,
40,n,pound,n,cvncv,ʏ,coronal,nasal,ccv,punda,pʰʏnta,no,0,49,49,41,space,1.90296912193,,,2016_Jun_21_1140,None,icelandic,jr06,
54,ʰp,arm,v,cvccv,o,labial,stop,ccv,vopna,voʰpna,yes,0,50,50,50,space,4.05388903618,,,2016_Jun_21_1140,None,icelandic,jr06,
54,ʰp,arm,v,cvccv,o,labial,stop,ccv,vopna,voʰpna,yes,0,50,50,50,space,2.08628201485,,,2016_Jun_21_1140,None,icelandic,jr06,
54,ʰp,arm,v,cvccv,o,labial,stop,ccv,vopna,voʰpna,yes,0,50,50,50,space,1.90293121338,,,2016_Jun_21_1140,None,icelandic,jr06,
