cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,participant
15,ʰt,point,n,vvcc,ou,coronal,stop,cc,ótt,ouʰt,yes,0,24,24,12,space,2.187114954,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
15,ʰt,point,n,vvcc,ou,coronal,stop,cc,ótt,ouʰt,yes,0,24,24,12,space,2.2198200226,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
15,ʰt,point,n,vvcc,ou,coronal,stop,cc,ótt,ouʰt,yes,0,24,24,12,space,2.3848350048,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
23,s,wet,adj,cvvcc,o,coronal,stop,cc,vots,voss,no,0,25,25,20,space,2.4861700535,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
23,s,wet,adj,cvvcc,o,coronal,stop,cc,vots,voss,no,0,25,25,20,space,1.9697828293,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
23,s,wet,adj,cvvcc,o,coronal,stop,cc,vots,voss,no,0,25,25,20,space,2.253207922,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
3,ʰk,dark,agg,cvcc,œ,velar,stop,cc,dökk,tœʰk,yes,0,26,26,2,space,2.2715339661,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
3,ʰk,dark,agg,cvcc,œ,velar,stop,cc,dökk,tœʰk,yes,0,26,26,2,space,2.2186260223,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
3,ʰk,dark,agg,cvcc,œ,velar,stop,cc,dökk,tœʰk,yes,0,26,26,2,space,2.3030769825,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
28,tt,pike,n,cvccv,e,coronal,stop,ccv,gedda,ketta,no,0,27,27,37,space,2.5526659489,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
28,tt,pike,n,cvccv,e,coronal,stop,ccv,gedda,ketta,no,0,27,27,37,space,1.7528839111,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
28,tt,pike,n,cvccv,e,coronal,stop,ccv,gedda,ketta,no,0,27,27,37,space,2.2691810131,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
16,tt,fast,adv,vcc,o,coronal,stop,cc,odd,ott,no,0,28,28,13,space,2.5197379589,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
16,tt,fast,adv,vcc,o,coronal,stop,cc,odd,ott,no,0,28,28,13,space,2.169713974,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
16,tt,fast,adv,vcc,o,coronal,stop,cc,odd,ott,no,0,28,28,13,space,2.169467926,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
56,ʰp,munch,v,cvccv,a,labial,stop,ccv,japla,jaʰpla,yes,0,29,29,54,space,2.1863880158,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
56,ʰp,munch,v,cvccv,a,labial,stop,ccv,japla,jaʰpla,yes,0,29,29,54,space,1.8530740738,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
56,ʰp,munch,v,cvccv,a,labial,stop,ccv,japla,jaʰpla,yes,0,29,29,54,space,2.6698269844,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
36,m,comb,n,cvncv,a,labial,nasal,ccv,kamba,kʰampa,no,0,30,30,39,space,2.570002079,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
36,m,comb,n,cvncv,a,labial,nasal,ccv,kamba,kʰampa,no,0,30,30,39,space,2.6015050411,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
36,m,comb,n,cvncv,a,labial,nasal,ccv,kamba,kʰampa,no,0,30,30,39,space,2.3861589432,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
50,r,scream,n,vrcv,o,coronal,rhotic,ccv,orga,orka,no,0,31,31,48,space,2.2708370686,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
50,r,scream,n,vrcv,o,coronal,rhotic,ccv,orga,orka,no,0,31,31,48,space,2.3362400532,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
50,r,scream,n,vrcv,o,coronal,rhotic,ccv,orga,orka,no,0,31,31,48,space,2.3032069206,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
29,m̥,moustache,n,cvnc,a,labial,nasal,cc,kamp,kʰam̥p,yes,0,32,32,22,space,2.6852080822,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
29,m̥,moustache,n,cvnc,a,labial,nasal,cc,kamp,kʰam̥p,yes,0,32,32,22,space,2.2363197804,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
29,m̥,moustache,n,cvnc,a,labial,nasal,cc,kamp,kʰam̥p,yes,0,32,32,22,space,2.8861169815,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
26,kk,barrel,n,cvccv,a,velar,stop,ccv,kagga,kʰakka,no,0,33,33,35,space,2.8537378311,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
26,kk,barrel,n,cvccv,a,velar,stop,ccv,kagga,kʰakka,no,0,33,33,35,space,2.4526190758,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
26,kk,barrel,n,cvccv,a,velar,stop,ccv,kagga,kʰakka,no,0,33,33,35,space,2.8535051346,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
60,ʰp,tiptoe,v,cvccv,ɪ,labial,stop,ccv,tipla,tɪʰpla,yes,0,34,34,58,space,2.6199769974,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
60,ʰp,tiptoe,v,cvccv,ɪ,labial,stop,ccv,tipla,tɪʰpla,yes,0,34,34,58,space,2.3031430244,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
60,ʰp,tiptoe,v,cvccv,ɪ,labial,stop,ccv,tipla,tɪʰpla,yes,0,34,34,58,space,2.3025379181,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
19,s,sediment,n,cvcc,e,coronal,stop,cc,sets,sess,no,0,35,35,16,space,2.5530951023,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
19,s,sediment,n,cvcc,e,coronal,stop,cc,sets,sess,no,0,35,35,16,space,2.1703808308,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
19,s,sediment,n,cvcc,e,coronal,stop,cc,sets,sess,no,0,35,35,16,space,2.7528209686,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
11,ʰt,feed,v,cvcc,ai,coronal,stop,cc,fætt,faiʰt,yes,0,36,36,9,space,2.6033601761,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
11,ʰt,feed,v,cvcc,ai,coronal,stop,cc,fætt,faiʰt,yes,0,36,36,9,space,2.1204271317,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
11,ʰt,feed,v,cvcc,ai,coronal,stop,cc,fætt,faiʰt,yes,0,36,36,9,space,2.1531980038,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
7,ʰt,far and wide,adv,cvcc,i,coronal,stop,cc,vítt,viʰt,yes,0,37,37,6,space,3.053000927,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
7,ʰt,far and wide,adv,cvcc,i,coronal,stop,cc,vítt,viʰt,yes,0,37,37,6,space,2.0529968739,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
7,ʰt,far and wide,adv,cvcc,i,coronal,stop,cc,vítt,viʰt,yes,0,37,37,6,space,2.3365638256,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
40,n,pound,n,cvncv,ʏ,coronal,nasal,ccv,punda,pʰʏnta,no,0,38,38,43,space,2.2197649479,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
