"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
77,51,"l̥","milk","v","ccvvccv","ou","coronal","lateral","ccv","mjólka","mjoul̥ka","yes",0,25,25,49,"space",3.754117012,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
78,51,"l̥","milk","v","ccvvccv","ou","coronal","lateral","ccv","mjólka","mjoul̥ka","yes",0,25,25,49,"space",4.3035080433,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
79,16,"tt","fast","adv","vcc","o","coronal","stop","cc","odd","ott","no",0,26,26,13,"space",4.2717781067,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
80,16,"tt","fast","adv","vcc","o","coronal","stop","cc","odd","ott","no",0,26,26,13,"space",3.070606947,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
81,16,"tt","fast","adv","vcc","o","coronal","stop","cc","odd","ott","no",0,26,26,13,"space",3.4870898724,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
82,10,"tt","thaw","v","cvccv","i","coronal","stop","ccv","þíddi","θitti","no",0,27,27,32,"space",5.7223360539,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
83,10,"tt","thaw","v","cvccv","i","coronal","stop","ccv","þíddi","θitti","no",0,27,27,32,"space",4.4038319588,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
84,10,"tt","thaw","v","cvccv","i","coronal","stop","ccv","þíddi","θitti","no",0,27,27,32,"space",3.5212600231,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
85,39,"n̥","decoration","n","cvncv","ʏ","coronal","nasal","ccv","punta","pʰʏn̥ta","yes",0,28,28,42,"space",5.721364975,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
86,39,"n̥","decoration","n","cvncv","ʏ","coronal","nasal","ccv","punta","pʰʏn̥ta","yes",0,28,28,42,"space",3.2701938152,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
87,39,"n̥","decoration","n","cvncv","ʏ","coronal","nasal","ccv","punta","pʰʏn̥ta","yes",0,28,28,42,"space",3.4869558811,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
88,50,"r","scream","n","vrcv","o","coronal","rhotic","ccv","orga","orka","no",0,29,29,48,"space",4.3540818691,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
