"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
73,39,"n̥","decoration","n","cvncv","ʏ","coronal","nasal","ccv","punta","pʰʏn̥ta","yes",0,24,24,42,"space",2.9545841217,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
74,39,"n̥","decoration","n","cvncv","ʏ","coronal","nasal","ccv","punta","pʰʏn̥ta","yes",0,24,24,42,"space",1.0533950329,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
75,39,"n̥","decoration","n","cvncv","ʏ","coronal","nasal","ccv","punta","pʰʏn̥ta","yes",0,24,24,42,"space",2.303139925,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
76,42,"n","do st carefully","v","cvncv","a","coronal","nasal","ccv","vanda","vanta","no",0,25,25,45,"space",2.2696940899,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
77,42,"n","do st carefully","v","cvncv","a","coronal","nasal","ccv","vanda","vanta","no",0,25,25,45,"space",1.5860481262,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
78,42,"n","do st carefully","v","cvncv","a","coronal","nasal","ccv","vanda","vanta","no",0,25,25,45,"space",1.1191990376,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
79,56,"ʰp","munch","v","cvccv","a","labial","stop","ccv","japla","jaʰpla","yes",0,26,26,54,"space",2.1013939381,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
80,56,"ʰp","munch","v","cvccv","a","labial","stop","ccv","japla","jaʰpla","yes",0,26,26,54,"space",1.5187120438,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
81,56,"ʰp","munch","v","cvccv","a","labial","stop","ccv","japla","jaʰpla","yes",0,26,26,54,"space",1.6861569881,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
82,6,"pp","block of wood","n","cvcc","ʏ","labial","stop","cc","kubb","kʰʏpp","no",0,27,27,5,"space",1.5195140839,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
83,6,"pp","block of wood","n","cvcc","ʏ","labial","stop","cc","kubb","kʰʏpp","no",0,27,27,5,"space",1.269026041,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
84,6,"pp","block of wood","n","cvcc","ʏ","labial","stop","cc","kubb","kʰʏpp","no",0,27,27,5,"space",1.5702068806,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
85,45,"l","complex","agg","cvlc","ʏ","coronal","lateral","cc","duld","tʏlt","no",0,28,28,30,"space",3.1034049988,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
86,45,"l","complex","agg","cvlc","ʏ","coronal","lateral","cc","duld","tʏlt","no",0,28,28,30,"space",1.6526341438,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
87,45,"l","complex","agg","cvlc","ʏ","coronal","lateral","cc","duld","tʏlt","no",0,28,28,30,"space",1.5525588989,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
88,36,"m","comb","n","cvncv","a","labial","nasal","ccv","kamba","kʰampa","no",0,29,29,39,"space",2.5199289322,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
89,36,"m","comb","n","cvncv","a","labial","nasal","ccv","kamba","kʰampa","no",0,29,29,39,"space",1.5027220249,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
90,36,"m","comb","n","cvncv","a","labial","nasal","ccv","kamba","kʰampa","no",0,29,29,39,"space",1.5677340031,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
91,46,"l̥","reticent","agg","cvlc","ʏ","coronal","lateral","cc","dult","tʏl̥t","yes",0,30,30,31,"space",1.9196090698,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
92,46,"l̥","reticent","agg","cvlc","ʏ","coronal","lateral","cc","dult","tʏl̥t","yes",0,30,30,31,"space",1.2369189262,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
93,46,"l̥","reticent","agg","cvlc","ʏ","coronal","lateral","cc","dult","tʏl̥t","yes",0,30,30,31,"space",1.7370588779,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
94,37,"m̥","hero","n","cvncv","e","labial","nasal","ccv","kempa","kʰem̥pa","yes",0,31,31,40,"space",1.6860759258,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
95,37,"m̥","hero","n","cvncv","e","labial","nasal","ccv","kempa","kʰem̥pa","yes",0,31,31,40,"space",1.5358729363,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
96,37,"m̥","hero","n","cvncv","e","labial","nasal","ccv","kempa","kʰem̥pa","yes",0,31,31,40,"space",1.2693359852,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
97,13,"ʰt","push","v","vcc","i","coronal","stop","cc","ýtt","iʰt","yes",0,32,32,10,"space",5.2544372082,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
98,13,"ʰt","push","v","vcc","i","coronal","stop","cc","ýtt","iʰt","yes",0,32,32,10,"space",1.4860730171,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
99,13,"ʰt","push","v","vcc","i","coronal","stop","cc","ýtt","iʰt","yes",0,32,32,10,"space",1.7027812004,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
100,49,"r̥","energy","n","vrcv","o","coronal","rhotic","ccv","orka","or̥ka","yes",0,33,33,47,"space",2.3198418617,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
101,49,"r̥","energy","n","vrcv","o","coronal","rhotic","ccv","orka","or̥ka","yes",0,33,33,47,"space",1.7359409332,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
102,49,"r̥","energy","n","vrcv","o","coronal","rhotic","ccv","orka","or̥ka","yes",0,33,33,47,"space",1.3694050312,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
103,24,"ʰt","wet","adj","cvvcc","o","coronal","stop","cc","vott","voʰt","yes",0,34,34,21,"space",2.1196138859,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
104,24,"ʰt","wet","adj","cvvcc","o","coronal","stop","cc","vott","voʰt","yes",0,34,34,21,"space",1.5860390663,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
105,24,"ʰt","wet","adj","cvvcc","o","coronal","stop","cc","vott","voʰt","yes",0,34,34,21,"space",1.2358510494,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
106,47,"l̥","bark","v","cvlcv","e","coronal","lateral","ccv","gelta","kel̥ta","yes",0,35,35,59,"space",2.5198919773,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
107,47,"l̥","bark","v","cvlcv","e","coronal","lateral","ccv","gelta","kel̥ta","yes",0,35,35,59,"space",1.4036750794,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
108,47,"l̥","bark","v","cvlcv","e","coronal","lateral","ccv","gelta","kel̥ta","yes",0,35,35,59,"space",1.7528619766,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
109,19,"s","sediment","n","cvcc","e","coronal","stop","cc","sets","sess","no",0,36,36,16,"space",20.4102931023,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
110,19,"s","sediment","n","cvcc","e","coronal","stop","cc","sets","sess","no",0,36,36,16,"space",1.7866618633,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
111,19,"s","sediment","n","cvcc","e","coronal","stop","cc","sets","sess","no",0,36,36,16,"space",1.9012749195,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
112,51,"l̥","milk","v","ccvvccv","ou","coronal","lateral","ccv","mjólka","mjoul̥ka","yes",0,37,37,49,"space",1.1024370194,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
113,51,"l̥","milk","v","ccvvccv","ou","coronal","lateral","ccv","mjólka","mjoul̥ka","yes",0,37,37,49,"space",0.6023051739,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
114,51,"l̥","milk","v","ccvvccv","ou","coronal","lateral","ccv","mjólka","mjoul̥ka","yes",0,37,37,49,"space",0.9191520214,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
115,12,"tt","feed","v","cvccv","ai","coronal","stop","ccv","fæddi","faitti","no",0,38,38,33,"space",15.1092638969,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
116,12,"tt","feed","v","cvccv","ai","coronal","stop","ccv","fæddi","faitti","no",0,38,38,33,"space",2.3206369877,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
117,12,"tt","feed","v","cvccv","ai","coronal","stop","ccv","fæddi","faitti","no",0,38,38,33,"space",2.0696690083,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
118,44,"nn","cheek","n","cvcc","i","coronal","nasal","cc","kinn","kʰɪnn","no",0,39,39,29,"space",2.186398983,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
119,44,"nn","cheek","n","cvcc","i","coronal","nasal","cc","kinn","kʰɪnn","no",0,39,39,29,"space",1.8527929783,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
120,44,"nn","cheek","n","cvcc","i","coronal","nasal","cc","kinn","kʰɪnn","no",0,39,39,29,"space",1.9529030323,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
121,55,"p","navel","n","cvccv","a","labial","stop","ccv","nafla","napla","no",0,40,40,53,"space",2.4195561409,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
122,55,"p","navel","n","cvccv","a","labial","stop","ccv","nafla","napla","no",0,40,40,53,"space",1.9363620281,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
123,55,"p","navel","n","cvccv","a","labial","stop","ccv","nafla","napla","no",0,40,40,53,"space",1.9029638767,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
124,11,"ʰt","feed","v","cvcc","ai","coronal","stop","cc","fætt","faiʰt","yes",0,41,41,9,"space",2.1358230114,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
125,11,"ʰt","feed","v","cvcc","ai","coronal","stop","cc","fætt","faiʰt","yes",0,41,41,9,"space",2.0362179279,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
126,11,"ʰt","feed","v","cvcc","ai","coronal","stop","cc","fætt","faiʰt","yes",0,41,41,9,"space",2.5198998451,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
127,29,"m̥","moustache","n","cvnc","a","labial","nasal","cc","kamp","kʰam̥p","yes",0,42,42,22,"space",2.5702731609,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
128,29,"m̥","moustache","n","cvnc","a","labial","nasal","cc","kamp","kʰam̥p","yes",0,42,42,22,"space",1.752710104,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
129,29,"m̥","moustache","n","cvnc","a","labial","nasal","cc","kamp","kʰam̥p","yes",0,42,42,22,"space",1.7361428738,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
130,21,"s","fat","adj","cvvcc","ei","coronal","stop","cc","feits","feiss","no",0,43,43,18,"space",3.3529310226,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
131,21,"s","fat","adj","cvvcc","ei","coronal","stop","cc","feits","feiss","no",0,43,43,18,"space",1.819149971,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
132,21,"s","fat","adj","cvvcc","ei","coronal","stop","cc","feits","feiss","no",0,43,43,18,"space",1.7193779945,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
