"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
66,54,"ʰp","arm","v","cvccv","o","labial","stop","ccv","vopna","voʰpna","yes",0,21,21,50,"space",2.170293808,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
67,32,"n","pound","n","cvnc","ʏ","coronal","nasal","cc","pund","pʰʏnt","no",0,22,22,23,"space",2.4876070023,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
68,32,"n","pound","n","cvnc","ʏ","coronal","nasal","cc","pund","pʰʏnt","no",0,22,22,23,"space",2.0197689533,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
69,32,"n","pound","n","cvnc","ʏ","coronal","nasal","cc","pund","pʰʏnt","no",0,22,22,23,"space",1.8368730545,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
70,7,"ʰt","far and wide","adv","cvcc","i","coronal","stop","cc","vítt","viʰt","yes",0,23,23,6,"space",2.153234005,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
71,7,"ʰt","far and wide","adv","cvcc","i","coronal","stop","cc","vítt","viʰt","yes",0,23,23,6,"space",1.8861749172,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
72,7,"ʰt","far and wide","adv","cvcc","i","coronal","stop","cc","vítt","viʰt","yes",0,23,23,6,"space",2.1696090698,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
73,57,"p","part","n","cvccv","a","labial","stop","ccv","kafli","kaplɪ","no",0,24,24,53,"space",2.2697329521,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
74,57,"p","part","n","cvccv","a","labial","stop","ccv","kafli","kaplɪ","no",0,24,24,53,"space",2.1198022366,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
75,57,"p","part","n","cvccv","a","labial","stop","ccv","kafli","kaplɪ","no",0,24,24,53,"space",2.0862820149,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
76,13,"ʰt","push","v","vcc","i","coronal","stop","cc","ýtt","iʰt","yes",0,25,25,10,"space",2.33685112,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
77,13,"ʰt","push","v","vcc","i","coronal","stop","cc","ýtt","iʰt","yes",0,25,25,10,"space",1.8366229534,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
78,13,"ʰt","push","v","vcc","i","coronal","stop","cc","ýtt","iʰt","yes",0,25,25,10,"space",1.9029297829,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
79,25,"ʰk","key","n","cvccv","a","velar","stop","ccv","takka","tʰaʰka","yes",0,26,26,32,"space",2.2036919594,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
80,25,"ʰk","key","n","cvccv","a","velar","stop","ccv","takka","tʰaʰka","yes",0,26,26,32,"space",2.0531880856,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
81,25,"ʰk","key","n","cvccv","a","velar","stop","ccv","takka","tʰaʰka","yes",0,26,26,32,"space",1.8196399212,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
82,4,"kk","dew","n","cvcc","œ","velar","stop","cc","dögg","tœkk","no",0,27,27,3,"space",2.0362780094,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
83,4,"kk","dew","n","cvcc","œ","velar","stop","cc","dögg","tœkk","no",0,27,27,3,"space",2.1870281696,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
84,4,"kk","dew","n","cvcc","œ","velar","stop","cc","dögg","tœkk","no",0,27,27,3,"space",2.2365038395,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
85,23,"s","wet","adj","cvvcc","o","coronal","stop","cc","vots","voss","no",0,28,28,18,"space",2.4207448959,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
86,23,"s","wet","adj","cvvcc","o","coronal","stop","cc","vots","voss","no",0,28,28,18,"space",1.8028330803,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
87,23,"s","wet","adj","cvvcc","o","coronal","stop","cc","vots","voss","no",0,28,28,18,"space",2.2697501183,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
88,3,"ʰk","dark","agg","cvcc","œ","velar","stop","cc","dökk","tœʰk","yes",0,29,29,2,"space",2.2030940056,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
89,3,"ʰk","dark","agg","cvcc","œ","velar","stop","cc","dökk","tœʰk","yes",0,29,29,2,"space",2.3364841938,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
90,3,"ʰk","dark","agg","cvcc","œ","velar","stop","cc","dökk","tœʰk","yes",0,29,29,2,"space",2.1364071369,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
91,10,"tt","thaw","v","cvccv","i","coronal","stop","ccv","þíddi","θittɪ","no",0,30,30,30,"space",2.3197808266,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
92,10,"tt","thaw","v","cvccv","i","coronal","stop","ccv","þíddi","θittɪ","no",0,30,30,30,"space",2.0530240536,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
93,10,"tt","thaw","v","cvccv","i","coronal","stop","ccv","þíddi","θittɪ","no",0,30,30,30,"space",1.95291996,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
94,12,"tt","feed","v","cvccv","ai","coronal","stop","ccv","fæddi","faittɪ","no",0,31,31,31,"space",2.2532749176,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
95,12,"tt","feed","v","cvccv","ai","coronal","stop","ccv","fæddi","faittɪ","no",0,31,31,31,"space",2.0365099907,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
96,12,"tt","feed","v","cvccv","ai","coronal","stop","ccv","fæddi","faittɪ","no",0,31,31,31,"space",2.1194880009,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
97,11,"ʰt","feed","v","cvcc","ai","coronal","stop","cc","fætt","faiʰt","yes",0,32,32,9,"space",2.2193210125,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
98,11,"ʰt","feed","v","cvcc","ai","coronal","stop","cc","fætt","faiʰt","yes",0,32,32,9,"space",2.0030210018,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
99,11,"ʰt","feed","v","cvcc","ai","coronal","stop","cc","fætt","faiʰt","yes",0,32,32,9,"space",2.0196280479,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
100,16,"tt","fast","adv","vcc","o","coronal","stop","cc","odd","ott","no",0,33,33,13,"space",2.103025198,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
101,16,"tt","fast","adv","vcc","o","coronal","stop","cc","odd","ott","no",0,33,33,13,"space",2.1529538631,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
102,16,"tt","fast","adv","vcc","o","coronal","stop","cc","odd","ott","no",0,33,33,13,"space",1.9028959274,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
103,48,"l","castrate","v","cvlcv","e","coronal","lateral","ccv","gelda","kelta","no",0,34,34,44,"space",2.4197428227,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
104,48,"l","castrate","v","cvlcv","e","coronal","lateral","ccv","gelda","kelta","no",0,34,34,44,"space",2.0697638989,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
