cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,participant,
1,ʰk,cook,n,cvcc,o,velar,stop,cc,kokk,kʰoʰk,yes,0,19,19,0,space,2.01963400841,2016_May_27_1115,59.8913352344,icelandic,tt01,
1,ʰk,cook,n,cvcc,o,velar,stop,cc,kokk,kʰoʰk,yes,0,19,19,0,space,1.93612504005,2016_May_27_1115,59.8913352344,icelandic,tt01,
1,ʰk,cook,n,cvcc,o,velar,stop,cc,kokk,kʰoʰk,yes,0,19,19,0,space,2.20262098312,2016_May_27_1115,59.8913352344,icelandic,tt01,
28,tt,pike,n,cvccv,e,coronal,stop,ccv,gedda,ketta,no,0,20,20,37,space,2.18666696548,2016_May_27_1115,59.8913352344,icelandic,tt01,
28,tt,pike,n,cvccv,e,coronal,stop,ccv,gedda,ketta,no,0,20,20,37,space,1.92015886307,2016_May_27_1115,59.8913352344,icelandic,tt01,
28,tt,pike,n,cvccv,e,coronal,stop,ccv,gedda,ketta,no,0,20,20,37,space,1.91976308823,2016_May_27_1115,59.8913352344,icelandic,tt01,
51,l̥,milk,v,ccvvccv,ou,coronal,lateral,ccv,mjólka,mjoul̥ka,yes,0,21,21,49,space,2.16930389404,2016_May_27_1115,59.8913352344,icelandic,tt01,
51,l̥,milk,v,ccvvccv,ou,coronal,lateral,ccv,mjólka,mjoul̥ka,yes,0,21,21,49,space,1.98606395721,2016_May_27_1115,59.8913352344,icelandic,tt01,
51,l̥,milk,v,ccvvccv,ou,coronal,lateral,ccv,mjólka,mjoul̥ka,yes,0,21,21,49,space,1.98680615425,2016_May_27_1115,59.8913352344,icelandic,tt01,
9,ʰt,thaw,v,cvcc,i,coronal,stop,cc,þítt,θiʰt,yes,0,22,22,8,space,2.05335092545,2016_May_27_1115,59.8913352344,icelandic,tt01,
