speaker,idx,word,beg_word,end_word,dur_word,beg_voic,end_voic,dur_voic,beg_mann,end_mann,dur_mann,rels,dur_vowel,dur_cc,dur_clos,vor,voffr,mor
brs02,16,kapli,75.24349206349207,75.76410009718174,'duration_word',75.3801247165533,75.44643707482994,66.31235827664739,75.43469581989503,75.5270030234316,92.30720353657773,75.612869717584,54.5711033417291,x,85.86669415240067,232.7450010307075,166.4326427540601,178.1738976889784
brs02,17,kapli,78.30509482580912,78.83890596399203,'duration_word',78.44585383947819,78.50399045729404,58.13661781584756,78.49613447399162,78.60271730914589,106.58283515427058,78.70487683962475,50.28063451342746,x,102.15953047885762,259.02300014655566,200.8863823307081,208.7423656331282
brs02,18,kapli,81.36259303721489,81.84239026876901,'duration_word',81.49465904236091,81.57187381258811,77.2147702272008,81.56116954474098,81.658679138322,97.50959358102307,81.73393151927438,66.51050238006917,x,75.25238095237796,239.2724769134702,162.0577066862694,172.76197453340103
brs02,19,japla,84.42969580379031,84.90351249174458,'duration_word',84.49627158555731,84.56287725309103,66.60566753372166,84.53553634315463,84.68815570672714,152.61936357251216,84.77249727051314,39.26475759732284,x,84.34156378599766,276.22568495583266,209.620017422111,236.96092735850982
brs02,20,japla,87.0382186194062,87.51347282819722,'duration_word',87.09989700642163,87.16250547002427,62.60846360264338,87.14708439757565,87.28340513983372,136.32074225806434,87.36906388642414,47.187391154025704,x,85.6587465904255,269.16688000251554,206.55841639987216,221.97948884848984
brs02,21,japla,89.89968399385897,90.3573721655329,'duration_word',89.95883632240776,90.01718311996716,58.34679755939476,90.00613439315121,90.14136654661866,135.23215346744166,90.21891156462586,47.2980707434516,x,77.54501800719993,260.0752422180932,201.72844465869844,212.7771714746416
brs02,22,kampa,92.6521859410431,93.17975708013704,'duration_word',92.80089893100097,92.9477097505669,146.81081956592834,92.86115233972377,92.98439027462838,123.23793490460844,93.06390128144281,60.25340872280083,x,79.51100681442824,263.0023504418375,116.19153087590917,202.74894171903668
brs02,23,kampa,95.21667120181407,95.75068858654573,'duration_word',95.35514764424289,95.44288348159778,87.73583735488444,95.4178213095938,95.53051344347263,112.6921338788236,95.60820136581765,62.67366535091412,x,77.68792234502087,253.05372157475858,165.31788421987414,190.38005622384446
brs02,24,kampa,97.8950146725357,98.4419723194998,'duration_word',98.04586984126985,98.17542964554244,129.5598042725885,98.11144061791384,98.23850151171581,127.06089380196772,98.32422902494332,65.57077664399458,x,85.7275132275106,278.3591836734729,148.7993794008844,212.78840702947832
brs02,25,þíddi,100.86272836030965,101.33789413461238,'duration_word',100.9847939885174,101.05574376417233,70.94977565493821,,,,101.23121749408985,70.94977565493821,x,175.4737299175133,246.42350557245152,175.4737299175133,3119.7768761760044
